time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-07-18T12:37:48.996Z,57.3583,-155.5615,64.3,1.5,ml,,,,0.28,ak,ak02096yunar,2020-07-18T12:41:16.243Z,"70 km WSW of Karluk, Alaska",earthquake,,1.5,,,automatic,ak,ak
2020-07-18T12:36:09.770Z,33.41,-116.345,11.17,1.44,ml,42,93,0.05598,0.23,ci,ci38596618,2020-07-18T12:40:00.884Z,"17km N of Borrego Springs, CA",earthquake,0.28,0.49,0.225,27,automatic,ci,ci
2020-07-18T12:31:38.530Z,34.3088333,-116.4428333,8.22,1.06,ml,25,56,0.05281,0.19,ci,ci38596602,2020-07-18T12:35:18.727Z,"22km N of Yucca Valley, CA",earthquake,0.37,0.71,0.124,20,automatic,ci,ci
2020-07-18T12:28:58.833Z,66.6617,-148.3615,9.9,1,ml,,,,0.05,ak,ak02096ysqm2,2020-07-18T12:42:57.013Z,"54 km NW of Beaver, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-07-18T12:27:40.695Z,61.6585,-144.7511,41.7,1.6,ml,,,,0.79,ak,ak02096yshhx,2020-07-18T12:37:53.908Z,"12 km ESE of Kenny Lake, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-07-18T12:20:13.510Z,38.1717,-117.9035,4.7,0.6,ml,11,109.56,0.017,0.07,nn,nn00761099,2020-07-18T12:42:01.146Z,"30 km SE of Mina, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-07-18T12:02:50.307Z,-8.9663,-109.628,10,4.9,mb,,175,30.71,0.87,us,us7000aqtu,2020-07-18T12:29:45.040Z,"central East Pacific Rise",earthquake,15.7,1.9,0.034,268,reviewed,us,us
2020-07-18T12:00:52.417Z,-33.3362,-177.8839,57.22,5.2,mb,,64,4.078,0.8,us,us7000aqtt,2020-07-18T12:19:13.040Z,"south of the Kermadec Islands",earthquake,10.4,4.8,0.058,96,reviewed,us,us
2020-07-18T11:57:33.405Z,64.88,-147.7521,17.4,0.6,ml,,,,0.27,ak,ak02096ydgt8,2020-07-18T12:00:34.948Z,"3 km NE of College, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-07-18T11:46:25.440Z,38.1702,-117.978,0.9,0.4,ml,10,106.15,0.029,0.04,nn,nn00761098,2020-07-18T12:22:00.954Z,"26 km SSE of Mina, Nevada",earthquake,,7.9,,,automatic,nn,nn
